,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,quinolizidine,w/,150,147,3,149,1,144,6,141,9,149,1,150,0,150,0,150,0,147,3,150,0,150,0,150,0,146,4,150,0,150,0,149,1,136,14,138,12,145,5,143,7,142,8,138,12,150,0,126,24,148,2,150,0,146,4,95,55,150,0,150,0,150,0,148,2,127,23
alkaloid,spermidine,w/o,245680,182627,63053,244626,1054,220233,25447,232321,13359,239073,6607,245480,200,245669,11,245554,126,243278,2402,245481,199,245665,15,245643,37,244450,1230,244775,905,245619,61,245559,121,228539,17141,225425,20255,240961,4719,239684,5996,230723,14957,223622,22058,244590,1090,236550,9130,238291,7389,244482,1198,235451,10229,204997,40683,240693,4987,245608,72,243180,2500,238795,6885,219487,26193
alkaloid,spermidine,w/,1277,1012,265,1232,45,1181,96,1131,146,1244,33,1277,0,1277,0,1277,0,1200,77,1277,0,1277,0,1275,2,1257,20,1265,12,1277,0,1277,0,1252,25,1237,40,1263,14,1271,6,1243,34,1227,50,1266,11,1254,23,1259,18,1272,5,1235,42,960,317,1232,45,1277,0,1275,2,1242,35,1105,172
alkaloid,spermine,w/o,245638,182549,63089,244577,1061,220232,25406,232251,13387,239030,6608,245438,200,245628,10,245512,126,243207,2431,245440,198,245623,15,245599,39,244402,1236,244726,912,245578,60,245517,121,228500,17138,225370,20268,240920,4718,239643,5995,230666,14972,223572,22066,244542,1096,236512,9126,238245,7393,244441,1197,235417,10221,205066,40572,240645,4993,245566,72,243138,2500,238747,6891,219462,26176
alkaloid,spermine,w/,1319,1090,229,1281,38,1182,137,1201,118,1287,32,1319,0,1318,1,1319,0,1271,48,1318,1,1319,0,1319,0,1305,14,1314,5,1318,1,1319,0,1291,28,1292,27,1304,15,1312,7,1300,19,1277,42,1314,5,1292,27,1305,14,1313,6,1269,50,891,428,1280,39,1319,0,1317,2,1290,29,1130,189
alkaloid,thiazole,w/o,234940,172495,62445,233845,1095,209913,25027,225657,9283,228389,6551,234743,197,234929,11,234814,126,232494,2446,234757,183,234925,15,234903,37,233701,1239,234050,890,234880,60,234821,119,219124,15816,215629,19311,230564,4376,229467,5473,220887,14053,213609,21331,233981,959,226387,8553,227770,7170,233759,1181,225035,9905,196689,38251,230202,4738,234870,70,232544,2396,228187,6753,209789,25151
alkaloid,thiazole,w/,12017,11144,873,12013,4,11501,516,7795,4222,11928,89,12014,3,12017,0,12017,0,11984,33,12001,16,12017,0,12015,2,12006,11,11990,27,12016,1,12015,2,10667,1350,11033,984,11660,357,11488,529,11079,938,11240,777,11875,142,11417,600,11780,237,11995,22,11651,366,9268,2749,11723,294,12015,2,11911,106,11850,167,10803,1214
alkaloid,tropane,w/o,246688,183392,63296,245591,1097,221161,25527,233213,13475,240054,6634,246488,200,246677,11,246562,126,244212,2476,246489,199,246674,14,246649,39,245442,1246,245772,916,246627,61,246567,121,229533,17155,226398,20290,241957,4731,240693,5995,231699,14989,224583,22105,245588,1100,237552,9136,239286,7402,245486,1202,236465,10223,205718,40970,241665,5023,246616,72,244190,2498,239773,6915,220393,26295
alkaloid,tropane,w/,269,247,22,267,2,253,16,239,30,263,6,269,0,269,0,269,0,266,3,269,0,268,1,269,0,265,4,268,1,269,0,269,0,258,11,264,5,267,2,262,7,267,2,266,3,268,1,252,17,264,5,268,1,221,48,239,30,260,9,269,0,265,4,264,5,199,70
phenolic compound,acetophenone,w/o,244814,181985,62829,243718,1096,219657,25157,231544,13270,238260,6554,244616,198,244803,11,244697,117,242349,2465,244618,196,244799,15,244775,39,243569,1245,243909,905,244753,61,244695,119,227855,16959,224769,20045,240109,4705,238845,5969,230041,14773,222898,21916,243716,1098,235717,9097,237432,7382,243618,1196,234604,10210,204089,40725,239816,4998,244742,72,242317,2497,237918,6896,218600,26214
