,,,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,antioxidant,antioxidant,drought,drought,metal,metal,uv,uv,salt,salt,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,antidiabetic,antidiabetic,cardiovascular,cardiovascular,obesity,obesity,rheumatism,rheumatism,antibacterial,antibacterial,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,anti-inflammatory,anti-inflammatory,arthritis,arthritis,burns,burns,wound,wound,anticancer,anticancer,cytotoxicity,cytotoxicity,sedative,sedative,toxicity,toxicity
,,,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
alkaloid,pyrrolizidine,w/o,180859,62410,242192,1077,218083,25186,236708,6561,229883,13386,243075,194,243258,11,243145,124,240827,2442,243073,196,243255,14,243230,39,242053,1216,242372,897,243209,60,243160,109,237381,5888,233143,10126,238335,4934,243198,71,223275,19994,228463,14806,221490,21779,242198,1071,234273,8996,226416,16853,235948,7321,242071,1198,236492,6777,238624,4645,202874,40395,240781,2488,217672,25597
alkaloid,pyrrolizidine,w/,663,32,693,2,680,15,689,6,682,13,689,6,695,0,693,2,690,5,694,1,695,0,695,0,678,17,694,1,695,0,684,11,690,5,651,44,694,1,695,0,675,20,679,16,678,17,693,2,685,10,682,13,692,3,694,1,688,7,693,2,565,130,692,3,226,469
alkaloid,quinazoline,w/o,178935,62309,240165,1079,216175,25069,234696,6548,227913,13331,241044,200,241233,11,241118,126,238799,2445,241052,192,241231,13,241206,38,240014,1230,240351,893,241184,60,241124,120,235429,5815,231287,9957,236346,4898,241173,71,221505,19739,226611,14633,219650,21594,240194,1050,232447,8797,224587,16657,233981,7263,240048,1196,234528,6716,236769,4475,201526,39718,238796,2448,215596,25648
alkaloid,quinazoline,w/,2587,133,2720,0,2588,132,2701,19,2652,68,2720,0,2720,0,2720,0,2718,2,2715,5,2719,1,2719,1,2717,3,2715,5,2720,0,2720,0,2642,78,2507,213,2683,37,2720,0,2445,275,2531,189,2518,202,2697,23,2511,209,2511,209,2659,61,2717,3,2652,68,2548,172,1913,807,2677,43,2302,418
alkaloid,quinoline,w/o,169036,61882,229843,1075,206930,23988,224503,6415,217923,12995,230719,199,230907,11,230792,126,228487,2431,230728,190,230905,13,230879,39,229706,1212,230090,828,230858,60,230799,119,225176,5742,221284,9634,226158,4760,230859,59,213324,17594,217168,13750,212151,18767,229948,970,222408,8510,214638,16280,223989,6929,229806,1112,224747,6171,226605,4313,192398,38520,228481,2437,206200,24718
alkaloid,quinoline,w/,12486,560,13042,4,11833,1213,12894,152,12642,404,13045,1,13046,0,13046,0,13030,16,13039,7,13045,1,13046,0,13025,21,12976,70,13046,0,13045,1,12895,151,12510,536,12871,175,13034,12,10626,2420,11974,1072,10017,3029,12943,103,12550,496,12460,586,12651,395,12959,87,12433,613,12712,334,11041,2005,12992,54,11698,1348
alkaloid,quinolizidine,w/o,181377,62439,242738,1078,218621,25195,237250,6566,230426,13390,243616,200,243805,11,243690,126,241372,2444,243619,197,243802,14,243777,39,242586,1230,242918,898,243756,60,243697,119,237930,5886,233650,10166,238881,4935,243745,71,223814,20002,229002,14814,222032,21784,242743,1073,234834,8982,226964,16852,236494,7322,242617,1199,237034,6782,239174,4642,203344,40472,241325,2491,217772,26044
alkaloid,quinolizidine,w/,145,3,147,1,142,6,147,1,139,9,148,0,148,0,148,0,145,3,148,0,148,0,148,0,145,3,148,0,148,0,147,1,141,7,144,4,148,0,148,0,136,12,140,8,136,12,148,0,124,24,134,14,146,2,148,0,146,2,143,5,95,53,148,0,126,22
alkaloid,spermidine,w/o,180521,62183,241668,1036,217599,25105,236169,6535,229450,13254,242504,200,242693,11,242578,126,240333,2371,242507,197,242690,14,242667,37,241491,1213,241817,887,242644,60,242584,120,236817,5887,232576,10128,237812,4892,242633,71,222730,19974,227916,14788,220957,21747,241642,1062,233720,8984,225862,16842,235398,7306,241510,1194,235955,6749,238069,4635,202495,40209,240215,2489,216807,25897
alkaloid,spermidine,w/,1001,259,1217,43,1164,96,1228,32,1115,145,1260,0,1260,0,1260,0,1184,76,1260,0,1260,0,1258,2,1240,20,1249,11,1260,0,1260,0,1254,6,1218,42,1217,43,1260,0,1220,40,1226,34,1211,49,1249,11,1238,22,1236,24,1242,18,1255,5,1225,35,1248,12,944,316,1258,2,1091,169
