,,,*,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,abiotic,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,allelopathy,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,pharmaco,toxicity,toxicity
,,,Σ,antioxidant,antioxidant,drought,drought,metal,metal,salt,salt,uv,uv,antifeedant,antifeedant,arbuscula,arbuscula,attractant,attractant,germination,germination,herbicidal,herbicidal,hppd,hppd,hyphal,hyphal,phytotoxicity,phytotoxicity,quorum sensing,quorum sensing,repulsive,repulsive,toxicant,toxicant,anti-inflammatory,anti-inflammatory,antibacterial,antibacterial,anticancer,anticancer,antidiabetic,antidiabetic,antifungal,antifungal,antimicrobial,antimicrobial,antiparasitic,antiparasitic,antiviral,antiviral,arthritis,arthritis,burns,burns,cardiovascular,cardiovascular,cytotoxicity,cytotoxicity,obesity,obesity,rheumatism,rheumatism,sedative,sedative,wound,wound,toxicity,toxicity
,,,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/,w/o,w/
pharmaco,anticancer,w/o,245271,181598,63673,244133,1138,219540,25731,231740,13531,238566,6705,245071,200,245260,11,245144,127,242748,2523,245072,199,245255,16,245232,39,244004,1267,244338,933,245210,61,245150,121,228033,17238,224988,20283,245271,0,239224,6047,230318,14953,223031,22240,244167,1104,236078,9193,237785,7486,244059,1212,234917,10354,205530,39741,240170,5101,245199,72,242762,2509,238275,6996,218762,26509
pharmaco,anticancer,w/,4811,4204,607,4811,0,4601,210,4730,81,4777,34,4811,0,4811,0,4811,0,4807,4,4810,1,4811,0,4811,0,4811,0,4807,4,4811,0,4811,0,4676,135,4526,285,0,4811,4760,51,4656,155,4540,271,4805,6,4739,72,4805,6,4810,1,4791,20,3043,1768,4802,9,4811,0,4809,2,4760,51,4649,162
pharmaco,antidiabetic,w/o,243984,181370,62614,242847,1137,218102,25882,230411,13573,237260,6724,243785,199,243973,11,243857,127,241469,2515,243786,198,243968,16,243945,39,242719,1265,243050,934,243923,61,243863,121,226862,17122,223664,20320,239224,4760,243984,0,229095,14889,221723,22261,242888,1096,234828,9156,236536,7448,242779,1205,233939,10045,202787,41197,239252,4732,243912,72,241534,2450,237033,6951,217769,26215
pharmaco,antidiabetic,w/,6098,4432,1666,6097,1,6039,59,6059,39,6083,15,6097,1,6098,0,6098,0,6086,12,6096,2,6098,0,6098,0,6096,2,6095,3,6098,0,6098,0,5847,251,5850,248,6047,51,0,6098,5879,219,5848,250,6084,14,5989,109,6054,44,6090,8,5769,329,5786,312,5720,378,6098,0,6037,61,6002,96,5642,456
pharmaco,antifungal,w/o,234974,172110,62864,233845,1129,209286,25688,221529,13445,228287,6687,234786,188,234963,11,234847,127,232620,2354,234794,180,234958,16,234949,25,233763,1211,234089,885,234913,61,234853,121,217873,17101,218749,16225,230318,4656,229095,5879,234974,0,216156,18818,233956,1018,226072,8902,227540,7434,233806,1168,224727,10247,194837,40137,229901,5073,234902,72,232499,2475,228087,6887,208907,26067
pharmaco,antifungal,w/,15108,13692,1416,15099,9,14855,253,14941,167,15056,52,15096,12,15108,0,15108,0,14935,173,15088,20,15108,0,15094,14,15052,56,15056,52,15108,0,15108,0,14836,272,10765,4343,14953,155,14889,219,0,15108,11415,3693,15016,92,14745,363,15050,58,15063,45,14981,127,13736,1372,15071,37,15108,0,15072,36,14948,160,14504,604
pharmaco,antimicrobial,w/o,227571,166549,61022,226441,1130,202243,25328,214238,13333,220947,6624,227378,193,227560,11,227445,126,225122,2449,227376,195,227555,16,227536,35,226349,1222,226777,794,227511,60,227450,121,210614,16957,211949,15622,223031,4540,221723,5848,216156,11415,227571,0,226553,1018,218660,8911,220199,7372,226439,1132,217292,10279,187924,39647,222503,5068,227499,72,225070,2501,221053,6518,201511,26060
pharmaco,antimicrobial,w/,22511,19253,3258,22503,8,21898,613,22232,279,22396,115,22504,7,22511,0,22510,1,22433,78,22506,5,22511,0,22507,4,22466,45,22368,143,22510,1,22511,0,22095,416,17565,4946,22240,271,22261,250,18818,3693,0,22511,22419,92,22157,354,22391,120,22430,81,22416,95,20649,1862,22469,42,22511,0,22501,10,21982,529,21900,611
pharmaco,antiparasitic,w/o,248972,184740,64232,247835,1137,223040,25932,235372,13600,242235,6737,248773,199,248961,11,248845,127,246445,2527,248773,199,248956,16,248933,39,247705,1267,248035,937,248911,61,248851,121,231618,17354,228462,20510,244167,4805,242888,6084,233956,15016,226553,22419,248972,0,239749,9223,241486,7486,247759,1213,238613,10359,207671,41301,243865,5107,248900,72,246462,2510,241933,7039,222372,26600
pharmaco,antiparasitic,w/,1110,1062,48,1109,1,1101,9,1098,12,1108,2,1109,1,1110,0,1110,0,1110,0,1109,1,1110,0,1110,0,1110,0,1110,0,1110,0,1110,0,1091,19,1052,58,1104,6,1096,14,1018,92,1018,92,0,1110,1068,42,1104,6,1110,0,1095,15,902,208,1107,3,1110,0,1109,1,1102,8,1039,71
